sha,author,date,message
1372,Jan-Erik Rediger,"December 12, 2024 08:14 PM",Bug Update to glean parser v rmachreviewerschutten Differential Revision httpsphabricatorservicesmozillacomD
1373,iorgamgabriel,"December 12, 2024 07:19 PM",Bug Add open in regular tab in tools menu randroidreviewerssanchaai Differential Revision httpsphabricatorservicesmozillacomD
1374,Chris DuPuis,"December 12, 2024 06:58 PM",Bug Log error code when launching Mozilla Maintenance Service rnrishelapplicationupdatereviewersbytesized This change logs the error code when the updater has tried and failed to launch MMS Differential Revision httpsphabricatorservicesmozillacomD
1375,Tim Huang,"December 12, 2024 06:53 PM",Bug Update browser hasStorageAccess alwaysPartitionjs to support testing when the thirdparty tracker cookie blocking is disable rbvanderslootantitrackingreviewers Depends on D Differential Revision httpsphabricatorservicesmozillacomD
1376,Tim Huang,"December 12, 2024 06:53 PM",Bug Disable tracker cookie blocking in Nighlty rantitrackingreviewersbvandersloot Differential Revision httpsphabricatorservicesmozillacomD
1377,Hanna Jones,"December 12, 2024 06:27 PM",Bug Part add temporary exception for unused toggle vars in pdfjs rreusablecomponentsreviewersmstriemer Differential Revision httpsphabricatorservicesmozillacomD
1378,Hanna Jones,"December 12, 2024 06:27 PM",Bug Part implement nested fields to address newtab settings drawer spacing rhomenewtabreviewersreusablecomponentsreviewersmconleymstriemer Differential Revision httpsphabricatorservicesmozillacomD
1379,Hanna Jones,"December 12, 2024 06:27 PM",Bug Part Update shopping toggles rshoppingreviewerskpatenio Differential Revision httpsphabricatorservicesmozillacomD
1380,Hanna Jones,"December 12, 2024 06:27 PM",Bug Part Update search and suggest toggles in settings rurlbarreviewersStandard Differential Revision httpsphabricatorservicesmozillacomD
1381,Hanna Jones,"December 12, 2024 06:27 PM",Bug Part Update moztoggle tests to use the input test helpers rreusablecomponentsreviewersmstriemer Differential Revision httpsphabricatorservicesmozillacomD
1382,Hanna Jones,"December 12, 2024 06:27 PM",Bug Part Update moztoggle to use the base input class rreusablecomponentsreviewersmstriemer Differential Revision httpsphabricatorservicesmozillacomD
1383,Hanna Jones,"December 12, 2024 06:27 PM",Bug Part Fix spacing in mozcheckbox and base input elements rreusablecomponentsreviewersmstriemer Differential Revision httpsphabricatorservicesmozillacomD
1384,Emilio Cobos Álvarez,"December 12, 2024 07:19 PM",Bug Trivially fix build bustage Didnt notice because I had bug on top which removes this code MANUAL PUSH Bustage fix CLOSED TREE
1385,Mozilla Releng Treescript,"December 12, 2024 07:01 PM",no bug Bumping Mobile ln changesets rrelease alnbump DONTBUILD CLOSED TREE ach acebccfdbbaccbd an acebccfdbbaccbd ar acebccfdbbaccbd ast acebccfdbbaccbd az acebccfdbbaccbd be acebccfdbbaccbd bg acebccfdbbaccbd bn acebccfdbbaccbd br acebccfdbbaccbd bs acebccfdbbaccbd ca acebccfdbbaccbd cak acebccfdbbaccbd cs acebccfdbbaccbd cy acebccfdbbaccbd da acebccfdbbaccbd de acebccfdbbaccbd dsb acebccfdbbaccbd el acebccfdbbaccbd enCA acebccfdbbaccbd enGB acebccfdbbaccbd eo acebccfdbbaccbd esAR acebccfdbbaccbd esCL acebccfdbbaccbd esES acebccfdbbaccbd esMX acebccfdbbaccbd et acebccfdbbaccbd eu acebccfdbbaccbd fa acebccfdbbaccbd ff acebccfdbbaccbd fi acebccfdbbaccbd fr acebccfdbbaccbd fyNL acebccfdbbaccbd gaIE acebccfdbbaccbd gd acebccfdbbaccbd gl acebccfdbbaccbd gn acebccfdbbaccbd guIN acebccfdbbaccbd he acebccfdbbaccbd hiIN acebccfdbbaccbd hr acebccfdbbaccbd hsb acebccfdbbaccbd hu acebccfdbbaccbd hyAM acebccfdbbaccbd ia acebccfdbbaccbd id acebccfdbbaccbd is acebccfdbbaccbd it acebccfdbbaccbd ja acebccfdbbaccbd ka acebccfdbbaccbd kab acebccfdbbaccbd kk acebccfdbbaccbd km acebccfdbbaccbd kn acebccfdbbaccbd ko acebccfdbbaccbd lij acebccfdbbaccbd lo acebccfdbbaccbd lt acebccfdbbaccbd ltg acebccfdbbaccbd lv acebccfdbbaccbd meh acebccfdbbaccbd mix acebccfdbbaccbd ml acebccfdbbaccbd mr acebccfdbbaccbd ms acebccfdbbaccbd my acebccfdbbaccbd nbNO acebccfdbbaccbd neNP acebccfdbbaccbd nl acebccfdbbaccbd nnNO acebccfdbbaccbd oc acebccfdbbaccbd paIN acebccfdbbaccbd pl acebccfdbbaccbd ptBR acebccfdbbaccbd ptPT acebccfdbbaccbd rm acebccfdbbaccbd ro acebccfdbbaccbd ru acebccfdbbaccbd sk acebccfdbbaccbd sl acebccfdbbaccbd son acebccfdbbaccbd sq acebccfdbbaccbd sr acebccfdbbaccbd svSE acebccfdbbaccbd ta acebccfdbbaccbd te acebccfdbbaccbd th acebccfdbbaccbd tl acebccfdbbaccbd tr acebccfdbbaccbd trs acebccfdbbaccbd uk acebccfdbbaccbd ur acebccfdbbaccbd uz acebccfdbbaccbd vi acebccfdbbaccbd wo acebccfdbbaccbd xh acebccfdbbaccbd zam acebccfdbbaccbd zhCN acebccfdbbaccbd zhTW acebccfdbbaccbd
1386,Mozilla Releng Treescript,"December 12, 2024 07:01 PM",no bug Bumping Firefox ln changesets rrelease alnbump DONTBUILD CLOSED TREE ach acebccfdbbaccbd af acebccfdbbaccbd an acebccfdbbaccbd ar acebccfdbbaccbd ast acebccfdbbaccbd az acebccfdbbaccbd be acebccfdbbaccbd bg acebccfdbbaccbd bn acebccfdbbaccbd bo acebccfdbbaccbd br acebccfdbbaccbd brx acebccfdbbaccbd bs acebccfdbbaccbd ca acebccfdbbaccbd cavalencia acebccfdbbaccbd cak acebccfdbbaccbd ckb acebccfdbbaccbd cs acebccfdbbaccbd cy acebccfdbbaccbd da acebccfdbbaccbd de acebccfdbbaccbd dsb acebccfdbbaccbd el acebccfdbbaccbd enCA acebccfdbbaccbd enGB acebccfdbbaccbd eo acebccfdbbaccbd esAR acebccfdbbaccbd esCL acebccfdbbaccbd esES acebccfdbbaccbd esMX acebccfdbbaccbd et acebccfdbbaccbd eu acebccfdbbaccbd fa acebccfdbbaccbd ff acebccfdbbaccbd fi acebccfdbbaccbd fr acebccfdbbaccbd fur acebccfdbbaccbd fyNL acebccfdbbaccbd gaIE acebccfdbbaccbd gd acebccfdbbaccbd gl acebccfdbbaccbd gn acebccfdbbaccbd guIN acebccfdbbaccbd he acebccfdbbaccbd hiIN acebccfdbbaccbd hr acebccfdbbaccbd hsb acebccfdbbaccbd hu acebccfdbbaccbd hyAM acebccfdbbaccbd hye acebccfdbbaccbd ia acebccfdbbaccbd id acebccfdbbaccbd is acebccfdbbaccbd it acebccfdbbaccbd ja acebccfdbbaccbd jaJPmac acebccfdbbaccbd ka acebccfdbbaccbd kab acebccfdbbaccbd kk acebccfdbbaccbd km acebccfdbbaccbd kn acebccfdbbaccbd ko acebccfdbbaccbd lij acebccfdbbaccbd lo acebccfdbbaccbd lt acebccfdbbaccbd ltg acebccfdbbaccbd lv acebccfdbbaccbd meh acebccfdbbaccbd mk acebccfdbbaccbd mr acebccfdbbaccbd ms acebccfdbbaccbd my acebccfdbbaccbd nbNO acebccfdbbaccbd neNP acebccfdbbaccbd nl acebccfdbbaccbd nnNO acebccfdbbaccbd oc acebccfdbbaccbd paIN acebccfdbbaccbd pl acebccfdbbaccbd ptBR acebccfdbbaccbd ptPT acebccfdbbaccbd rm acebccfdbbaccbd ro acebccfdbbaccbd ru acebccfdbbaccbd sat acebccfdbbaccbd sc acebccfdbbaccbd scn acebccfdbbaccbd sco acebccfdbbaccbd si acebccfdbbaccbd sk acebccfdbbaccbd skr acebccfdbbaccbd sl acebccfdbbaccbd son acebccfdbbaccbd sq acebccfdbbaccbd sr acebccfdbbaccbd svSE acebccfdbbaccbd szl acebccfdbbaccbd ta acebccfdbbaccbd te acebccfdbbaccbd tg acebccfdbbaccbd th acebccfdbbaccbd tl acebccfdbbaccbd tr acebccfdbbaccbd trs acebccfdbbaccbd uk acebccfdbbaccbd ur acebccfdbbaccbd uz acebccfdbbaccbd vi acebccfdbbaccbd wo acebccfdbbaccbd xh acebccfdbbaccbd zhCN acebccfdbbaccbd zhTW acebccfdbbaccbd
1387,Norisz Fay,"December 12, 2024 06:41 PM",Bug Fix lint failure in test crypto encryptjs rfix CLOSED TREE
1388,Otto Länd,"December 12, 2024 06:30 PM",Bug apply code formatting via Lando ignorethischangeset
1389,Jonatan Klemets,"December 12, 2024 05:39 PM",Bug Part Add JSON tests for webRequestResourceType rrobwu Differential Revision httpsphabricatorservicesmozillacomD
1390,Jonatan Klemets,"December 12, 2024 05:39 PM",Bug Part Add WPT for checking headers when fetching a JSON module rtschuster The main intent of this patch is to add test coverage for SecFetchDest json because an earlier patch in this stack added that functionality Differential Revision httpsphabricatorservicesmozillacomD
1391,Jonatan Klemets,"December 12, 2024 05:39 PM",Bug Part Update WPT expectations rspidermonkeyreviewersallstarschh Differential Revision httpsphabricatorservicesmozillacomD
1392,Jonatan Klemets,"December 12, 2024 05:39 PM",Bug Part Return correct nsIContentPolicy when fetching json modules rspidermonkeyreviewersdomcorehsivonenallstarschh Differential Revision httpsphabricatorservicesmozillacomD
1393,Jonatan Klemets,"December 12, 2024 05:39 PM",Bug Part Add nsIContentPolicyTYPE JSONTYPE INTERNAL JSON PRELOAD rextensionreviewerswebidldevtoolsreviewersdomcoresmaugrobwutschusternchevobbefarre Differential Revision httpsphabricatorservicesmozillacomD
1394,Alexandre Poirot,"December 12, 2024 05:32 PM",Bug devtools Fix browser dbgwindowlessserviceworkersjs on http rdevtoolsreviewersnchevobbe It looks like in HTTP the service worker is automatically switched to use an https URL which confuses the test as we were waiting for a worker to be spawning with an http URL We cant switch the html page to https as is not an https port and using would automaticaly remove the custom port from the URL Differential Revision httpsphabricatorservicesmozillacomD
1395,Alexandre Poirot,"December 12, 2024 05:32 PM",Bug devtools Fix browser dbgwindowlessserviceworkersjs intermittents rdevtoolsreviewersbomsy Differential Revision httpsphabricatorservicesmozillacomD
1396,Alexandre Poirot,"December 12, 2024 05:32 PM",Bug devtools Fix browser dbgwindowlessserviceworkersreloadjs intermittents rdevtoolsreviewersbomsy removeTab doesnt wait for full toolbox destruction we werent waiting for the ContentTask involved when calling fetchFromWorker to complete after resume we were reloading the page while the Service Worker was still being registered Differential Revision httpsphabricatorservicesmozillacomD
1397,Alexandre Poirot,"December 12, 2024 05:31 PM",Bug devtools Display worker custom name instead of URL in DevTools rdevtoolsreviewersnchevobbe This patch affects both the console context selector and debugger source tree thread panels The URL should still be displayed in tooltips Differential Revision httpsphabricatorservicesmozillacomD
1398,Alexandre Poirot,"December 12, 2024 05:31 PM",Bug devtools Expose Worker name via nsIWorkerDebuggername rdomworkerreviewersasuth Differential Revision httpsphabricatorservicesmozillacomD
1399,Beth Rennie,"December 12, 2024 05:31 PM",Bug Turn off defaultoff metrics when unenrolling from nimbusTelemetry rchumphreysTravisLong Differential Revision httpsphabricatorservicesmozillacomD
1400,Ryan VanderMeulen,"December 12, 2024 05:23 PM",Bug Remove unnecessary NonNull annotations from DraggableItemAnimatorkt randroidreviewerssfamisa Differential Revision httpsphabricatorservicesmozillacomD
1401,Emily McMinn,"December 12, 2024 05:14 PM",Bug Add currentTabsOpen context to nthTabClosed trigger as well as a similar nthTabOpened trigger romcreviewerspdahiyadao Differential Revision httpsphabricatorservicesmozillacomD
1402,Ting-Yu Lin,"December 12, 2024 05:05 PM",Bug Add webplatform tests for grid container as flex item with auto repeat columns rdholbert flexitemgridcontainerautorepeathtml is adapted from Daniel Holberts reduced testcase in Bug Comment flexitemgridcontainerautorepeathtml is identical to html except that the width of itemgridcontainer are set to a pixel value rather than a percentage value This test has failed before introducing the regression Differential Revision httpsphabricatorservicesmozillacomD
1403,Ting-Yu Lin,"December 12, 2024 05:05 PM",Bug Revert Bug to fix the overlapping icons on betadestinyitemmanagercom rlayoutreviewersdholbert This reverts commit httpshgmozillaorgmozillacentralrevfdfca after resolving the code conflict with Bug Part httpshgmozillaorgmozillacentralrevdadc Differential Revision httpsphabricatorservicesmozillacomD
1404,Emilio Cobos Álvarez,"December 12, 2024 04:50 PM",Bug Pack all custom nonclient margin stuff in a struct rwinreviewersrkraesig No behavior change intended other than resetting it when unsetting the custom titlebar which is just for consistency but this makes it a bit easier to reason about IMO Differential Revision httpsphabricatorservicesmozillacomD
1405,André Bargull,"December 12, 2024 04:41 PM",Bug Part Add a workaround if DR is not implemented rdminor Skip the static assert for old Clang versions Differential Revision httpsphabricatorservicesmozillacomD
1406,André Bargull,"December 12, 2024 04:41 PM",Bug Part Restructure CWG check for older Clang rdminor Both alternatives in are evaluated early so we have to use nested if directives Differential Revision httpsphabricatorservicesmozillacomD
1407,André Bargull,"December 12, 2024 04:41 PM",Bug Part Add extra braces for Clang rdminor When compiling with stdc Wall Werror this code needs extra braces in return to avoid a warning in Clang struct S int value struct S S Warning here when not using static S zero return S f return Szero The alternative is to set Wnomissingbraces when Clang similar to the already existing code which disables this warning for Clang cf buildmozconfigurewarningsconfigure Differential Revision httpsphabricatorservicesmozillacomD
1408,Kagami Sascha Rosylight,"December 12, 2024 04:39 PM",Bug Add test rasuth Differential Revision httpsphabricatorservicesmozillacomD
1409,Moritz Beier,"December 12, 2024 04:09 PM",Bug Add a preference and expose it on aboutsupport for recording when the search settings were last read as corrupt rStandard Differential Revision httpsphabricatorservicesmozillacomD
1410,Stanca Serban,"December 12, 2024 06:07 PM",No Bug revert change to servicessettingsdumpsblocklistsaddonsbloomfiltersjson to prevent xpcshell failures in test blocklist mlbf dumpjs CLOSED TREE
1411,Stanca Serban,"December 12, 2024 05:46 PM",Backed out changeset aeacabbe bug for causing mochitests failures in browser storageAccessThirdPartyChecks alwaysPartitionjs
1412,Jan Varga,"December 12, 2024 03:59 PM",Bug QM Cache thumbnail private identity id rdomstoragereviewersasuth The nsIQuotaUtilsService interface is restricted to the main thread so the thumbnail private identity id is retrieved on the main thread in the handler for the sessionstorewindowsrestored observer topic It is not retrieved in profiledochange or profileafterchange handlers because those notifications occur very early during startup while the ContextualIdentityService can be initialized after user events start being handled this is done for performance reasons and the start of user events handling is signaled by firing the sessionstorewindowsrestored notification Additionally retrieving the id earlier could trigger the initialization of many JS modules in background tasks which we want to avoid Furthermore some Neckorelated tests expect that the cookies service remains uninitialized after calling do get profile If the id were retrieved during profiledochange it would inadvertently initialize the cookies service as the ContextualIdentityService needs to traverse cookies while creating default identities This would conflict with test expectations So for some time after startup the thumbnail private identity id may not be known This is acceptable as we do not expect specific origin operations to be triggered early Even if they are it would only mean that some optimizations like counting thumbnail private identity temporary origins are not utilized Note xpcshell tests currently do not fire sessionstorewindowsrestored during do get profile so the thumbnail private identity id will not be known in those tests However this functionality can be added later if needed Differential Revision httpsphabricatorservicesmozillacomD
1413,Toby,"December 12, 2024 03:57 PM",Bug Fix incorrect rounding in software rendering of feColorMatrix rlongsonr This doesnt fix a similar problem in ArithmeticCombineTwoPixels because the fixes there have performance implications appear wrong or are wrong for common inputs Since huerotate is defined in terms of a color matrix some tests involving huerotate behave slightly differently Differential Revision httpsphabricatorservicesmozillacomD
1414,AndiAJ,"December 12, 2024 03:44 PM",Bug Disable new composable Bookmarks in UI tests rohorvath Disable the new composable Bookmarks in UI tests to avoid any future failures This will also help separate the old tests from the new ones that Ill start creating Differential Revision httpsphabricatorservicesmozillacomD
1415,serge-sans-paille,"December 12, 2024 03:28 PM",Bug Adjust IntegerGemmIntrinsic documentation to reflect actual native signature ryury Also cleanup casts from wasm interface to gemmology interface No functional change Differential Revision httpsphabricatorservicesmozillacomD
1416,Benjamin VanderSloot,"December 12, 2024 03:28 PM",Bug Channel classification should not be performed on foreign channels that are same site to the top level rtimhuang Differential Revision httpsphabricatorservicesmozillacomD
1417,aglavic,"December 12, 2024 03:22 PM",Bug Add mobile startup restore tests rperftestreviewersafinder Differential Revision httpsphabricatorservicesmozillacomD
1418,Stephen Thompson,"December 12, 2024 03:22 PM",Bug add tests for restoring tab groups rdaosessionstorereviewerstabbrowserreviewersurlbarreviewers Addsupdates test cases for restoring saved tab groups closed tab groups and open tab groups from session state Differential Revision httpsphabricatorservicesmozillacomD
1419,Dão Gottwald,"December 12, 2024 03:04 PM",Bug Convert textoverflow to boolean attribute rtabbrowserreviewersjswinarton Differential Revision httpsphabricatorservicesmozillacomD
1420,Dão Gottwald,"December 12, 2024 03:03 PM",Bug Reimplement coloring of tab group actions rdaleharvey Differential Revision httpsphabricatorservicesmozillacomD
1421,Andrew McCreight,"December 12, 2024 02:57 PM",Bug part Cycle collect SessionStoreChildmManager in the child process rnikafarrecoresessionstorereviewers Since bug an IPDL actor maintains a strong reference to its manager SessionStoreChild is cycle collected In the child process its manager is BrowserChild which is also cycle collected We need to tell the cycle collector about this edge to ensure that the SessionStoreChild and its BrowserChild are collected at the same time This static cast looks questionable given that the manager of PSessionStore can be either PBrowser or PInProcess but based on SessionStoreChildGetOrCreate we can tell the class of our manager by which process were in Differential Revision httpsphabricatorservicesmozillacomD
1422,Andrew McCreight,"December 12, 2024 02:57 PM",Bug part Expand out CC macros for SessionStoreChild rnikacoresessionstorereviewersfarre The next patch is a little weird so Im splitting this out to make it clearer Differential Revision httpsphabricatorservicesmozillacomD
1423,Andrew McCreight,"December 12, 2024 02:57 PM",Bug part Traverse and unlink BrowserChildmWebBrowser rnika Differential Revision httpsphabricatorservicesmozillacomD
1424,Gabriele Svelto,"December 12, 2024 02:39 PM",Bug Add ModuleSignatureInfo to the list of crash annotations rafranchuk Differential Revision httpsphabricatorservicesmozillacomD
1425,Jeremy Swinarton,"December 12, 2024 02:36 PM",Bug Ensure tab groups always appear in history menus rdaosthompsonsessionstorereviewers Differential Revision httpsphabricatorservicesmozillacomD
1426,oana.horvath,"December 12, 2024 02:14 PM",Bug Fenix New Tools menu redesign smoke tests rajoltan Differential Revision httpsphabricatorservicesmozillacomD
1427,Adam Brouwers-Harries,"December 12, 2024 02:10 PM",Bug Expose profiler tesing utilities through ProfilerTestUtilssysmjs rprofilerreviewerscanaltinovajulienw Differential Revision httpsphabricatorservicesmozillacomD
1428,ffxbld,"December 12, 2024 01:54 PM",No Bug mozillacentral repoupdate HSTS HPKP remotesettings tldsuffixes mobileexperiments ctlogs rreleasemanagersRyanVM Differential Revision httpsphabricatorservicesmozillacomD
1429,Nicolas Chevobbe,"December 12, 2024 01:43 PM",Bug devtools Display cookies partitionKey in storage panel rtimhuangdevtoolsreviewersochameau Differential Revision httpsphabricatorservicesmozillacomD
1430,Nicolas Chevobbe,"December 12, 2024 01:43 PM",Bug devtools Retrieve cookies for a given host from different jars rtimhuangdevtoolsreviewersochameau This patch changes how were retrieving cookies for a given host We used to retrieve the first window we found for the host and get its associated originAttributes to pass them to ServicescookiesgetCookiesFromHost With CHIPS windows with the same host can have different originAttributes more precisely different partitionKey This means that in order to retrieve all the cookies for a given host we need to call ServicescookiesgetCookiesFromHost with all the different originAttributes we can have for the host This also impacts how we handle editing and removing cookies as we also need the specific originAttributes linked to the cookie that is being modifieddeleted note that adding cookies might also be impacted but by default we put them in the top level document which should put them in the unpartitioned jar A test is added to try to cover all this changes Differential Revision httpsphabricatorservicesmozillacomD
1431,Nazım Can Altınova,"December 12, 2024 01:31 PM",Bug Check in case libName could be nullptr before passing it inside the stdstring constructor in LoadedLibraryInfo constructor rprofilerreviewersflorian Before the sharedlibraries code deduplication we were using nsCString for the LoadedLibraryInfomName After the deduplication we started to use stdstring Before it was fine to pass nullptr as a parameter to nsCString as it could easily handle it and act as if its an empty string But its an undefined behavior on stdstring And passing a nullptr actively crashes Firefox when there is a BHR hang detected as it uses the shared libraries code So now instead of directly passing dl infodlpi name inside stdstring Im checking if its a nullptr or not and if so Im passing an empty string so we dont crash there Differential Revision httpsphabricatorservicesmozillacomD
1432,Timothy Nikkel,"December 12, 2024 01:22 PM",Bug Reenable some tests on macos rjmaher I think these got disabled when trying to green up tests on the new version of macos However I think they were failing when the machines were still configured with disappearing scrollbars and werent reevaluated when the machines correctly had disappearing scrollbars disabled One needs this magic incantation in order to push to try currently with these new machines mach try fuzzy workeroverridetosxrrelenghardwaregeckotosxrstaging q testmacosx Differential Revision httpsphabricatorservicesmozillacomD
1433,Tooru Fujisawa,"December 12, 2024 01:10 PM",Bug Check stencils nullness for checkDelazificationCache option rnbp Differential Revision httpsphabricatorservicesmozillacomD
1434,Joel Maher,"December 12, 2024 01:10 PM",Bug use proper test path for list manifests when querying bugzilla component information raryx Differential Revision httpsphabricatorservicesmozillacomD
1435,Joel Maher,"December 12, 2024 01:09 PM",Bug extend windows skipif conditions for marionette tests to win H update rwhimboo Differential Revision httpsphabricatorservicesmozillacomD
1436,Kelly Cochrane,"December 12, 2024 12:57 PM",Bug Implement full mute button spec rdesktopthemereviewerstabbrowserreviewersdaosessionstorereviewerssclements Differential Revision httpsphabricatorservicesmozillacomD
1437,t-p-white,"December 12, 2024 12:29 PM",Bug Updated the privacy preferences state to the expected defaults randroidreviewersrebecatudor Differential Revision httpsphabricatorservicesmozillacomD
1438,sotaro,"December 12, 2024 11:47 AM",Bug Fix WebGPU OffscreenCanvas handling rgfxreviewerslsalzman How to push remote texture was changed several times OffscreenCanvasDisplayDatamOwnerId is not used anymore And OffscreenCanvasDisplayDatamOwnerId blocks WebGPU OffscreenCanvas rendering Differential Revision httpsphabricatorservicesmozillacomD
1439,Jan Varga,"December 12, 2024 11:34 AM",Bug ContextualIdentityService should check if a file exists before attempting to read from it rbaku The ContextualIdentityService was attempting to read the containersjson file without verifying its existence This caused warnings to appear in the console when the file was missing Differential Revision httpsphabricatorservicesmozillacomD
1440,Stanca Serban,"December 12, 2024 12:12 PM",Backed out changeset dcca bug for causing bpnu build bustages in Workercpp CLOSED TREE
1441,Mugurell,"December 12, 2024 11:19 AM",Bug Avoid setting dependencies through LoginSelectBarBehavior randroidreviewersavirvara Speculative fix for a crash from cycling dependencies in the layout Differential Revision httpsphabricatorservicesmozillacomD
1442,sotaro,"December 12, 2024 11:09 AM",Bug Add max MacIOSurface size check in ExternalTextureMacIOSurfaceCreate rgfxreviewerslsalzman There was a case that ExternalTextureMacIOSurfaceCreate received a size that is larger than max MacIOSurface size Differential Revision httpsphabricatorservicesmozillacomD
1443,Tom Schuster,"December 12, 2024 11:07 AM",Bug Remove inline event handler from PageStyleMenu rGijs Differential Revision httpsphabricatorservicesmozillacomD
1444,Marco Bonardo,"December 12, 2024 10:48 AM",Bug Allow loading SQLite extensions from Sqlitesysmjs rlina Differential Revision httpsphabricatorservicesmozillacomD
1445,Hubert Boma Manilla,"December 12, 2024 10:20 AM",Bug devtools Remove ay checks flag for browser dbgdebuglinejs and browser dbginspectorintegrationjs rdevtoolsreviewersnchevobbe Differential Revision httpsphabricatorservicesmozillacomD
1446,Stanca Serban,"December 12, 2024 10:36 AM",Backed out changesets bug for causing multiple failures CLOSED TREE Backed out changeset ebfa bug Backed out changeset de bug Backed out changeset fbeb bug 
1447,Jan Varga,"December 12, 2024 09:49 AM",Bug Extend the expiration of localstoragedatabaserequest allow to close response time rdomstoragereviewersjstutte Differential Revision httpsphabricatorservicesmozillacomD
1448,RebecaTudor,"December 12, 2024 09:34 AM",Bug Change strings for Customize in onboarding randroidreviewerstwhite Changed strings of buttons for customize theme and toolbar from onboarding according to Figma Differential Revision httpsphabricatorservicesmozillacomD
1449,Tom Schuster,"December 12, 2024 09:30 AM",Bug Remove inline event handlers from bookmarksHistoryTooltip rGijs Differential Revision httpsphabricatorservicesmozillacomD
1450,karanBRAVO,"December 12, 2024 09:19 AM",Bug devtools Ensure tooltip content is scrollable by adding maxheight and overflow properties directly targetting the RDM using the HTML element id attribute rdevtoolsreviewersnchevobbe Differential Revision httpsphabricatorservicesmozillacomD
1451,Andreas Farre,"December 12, 2024 09:07 AM",Bug Test case rdomcorepeterv Differential Revision httpsphabricatorservicesmozillacomD
1452,Frédéric Wang,"December 12, 2024 09:04 AM",Bug Only call GetTrustedTypesCompliantString from workers constructor in a WindowWorkerGlobalScope context rsmaug The spec only mentions WindowWorkerGlobalScope contexts but we also call the worker constructor for other nsIGlobalObject such as BackstagePass See for details httpshtmlspecwhatwgorgmultipageworkershtmldedicatedworkersandtheworkerinterface httpsbugzillamozillaorgshow bugcgiidc Differential Revision httpsphabricatorservicesmozillacomD
1453,smayya,"December 12, 2024 08:55 AM",Bug update POST tests for idempotencykey rneckoreviewersdevtoolsreviewerskershawjdescottes Differential Revision httpsphabricatorservicesmozillacomD
1454,smayya,"December 12, 2024 08:55 AM",Bug add test to verify IdempotencyKey header settings rneckoreviewersvalentin Depends on D Differential Revision httpsphabricatorservicesmozillacomD
1455,smayya,"December 12, 2024 08:55 AM",Bug add IdempotencyKey header to post request rneckoreviewersvalentin Differential Revision httpsphabricatorservicesmozillacomD
1456,Daniel Holbert,"December 12, 2024 08:38 AM",Bug Make VectorImageGetWidthGetHeight gracefully fail rather than crashing if internal docs root element is nullptr rtnikkel Based on intermittent crashes in automation it seems like during shutdown two things may happen independently A we gather a memory report that asks our SVG images for their widthheight B we tear down the internal SVG document for our SVG images If they happen in that order A before B then everythings fine but if B happens before A then the widthheight queries in A will find an SVG document with a null pointer for the root element So we need to handle that case gracefully Differential Revision httpsphabricatorservicesmozillacomD
1457,Timothy Nikkel,"December 12, 2024 08:11 AM",Bug Avoid getting the display port another time in ScrollContainerFrameBuildDisplayList rhiro This sometimes shows up in profiles so avoid getting the displayport when we have that info already Differential Revision httpsphabricatorservicesmozillacomD
1458,serge-sans-paille,"December 12, 2024 07:08 AM",Bug Fix memcpy usage to meet standard requirements rjgilbertneckoreviewersxpcomreviewersglandiumkarltvalentinnikagsveltopeterv As mentioned in httpsencppreferencecomwcppstringbytememcpy memcpy requires trivially copyable types Same property holds for memset GCC checks this and clang will do in next release In both cases it can be silenced locally by casting the destination parameter to void This patch introduces the following changes AssignRangeAlgorithm was dispatching on the trivially constructable trait not trivially copyable Note that it is basically a reimplementation of stduninitialized copy n but using the later would bypass some specialization of nsTArrayElementTraitsTConstruct ShBuiltInResources default constructor already performs a memset mCachedAnonymousContentStyleIndexes used to contain stdpairuint t uint t which is not trivially copyable at least under older libstdc Use a more explicit POD type instead PodOperationsh was not checking type requirements it now does and issue a compilation error in case of misuse NetAddr copy and default constructors are already defined so use them instead of plain memsetmemcpy NetAddr has a copy constructor from PSNetAddr use it instead of a plain memcpy Do not create a temporary mozillaphcAddrInfo through a memcpy when what we actually want is a reintepret cast Still perform a memcpy on the bytes to enforce alignment Differential Revision httpsphabricatorservicesmozillacomD
